iter	Passed	Remaining
640	1569	243248
641	1571	243225
642	1573	243214
643	1576	243202
644	1579	243230
645	1581	243200
646	1583	243165
647	1585	243134
648	1588	243106
649	1590	243062
650	1592	243013
651	1594	242977
652	1596	242942
653	1598	242892
654	1601	242850
655	1603	242833
656	1605	242826
657	1608	242829
658	1611	242850
659	1613	242857
660	1615	242858
661	1618	242858
662	1620	242864
663	1623	242946
664	1626	242938
665	1628	242929
666	1630	242890
667	1633	242858
668	1635	242833
669	1637	242796
670	1639	242742
671	1641	242683
672	1643	242629
673	1646	242593
674	1648	242556
675	1650	242514
676	1652	242472
677	1654	242431
678	1657	242392
679	1659	242362
680	1661	242334
681	1663	242319
682	1666	242301
683	1668	242283
684	1671	242285
685	1673	242287
686	1675	242275
687	1678	242289
688	1680	242290
689	1683	242276
690	1685	242256
691	1687	242241
692	1690	242229
693	1692	242207
694	1694	242183
695	1697	242158
696	1699	242137
697	1702	242142
698	1704	242140
699	1706	242138
700	1709	242145
701	1711	242138
702	1714	242130
703	1716	242124
704	1719	242125
705	1721	242126
706	1724	242135
707	1726	242145
708	1729	242136
709	1731	242121
710	1733	242108
711	1736	242096
712	1738	242071
713	1740	242062
714	1742	242026
715	1745	241998
716	1747	241994
717	1749	241981
718	1752	241969
719	1754	241971
720	1757	241980
721	1759	241987
722	1762	241988
723	1764	242002
724	1767	242003
725	1769	242020
726	1772	242042
727	1775	242071
728	1777	242109
729	1780	242135
730	1783	242137
731	1785	242125
732	1787	242112
733	1790	242110
734	1792	242080
735	1794	242053
736	1797	242032
737	1799	241993
738	1801	241964
739	1803	241939
740	1805	241907
741	1808	241876
742	1810	241865
743	1812	241851
744	1815	241840
745	1817	241821
746	1819	241806
747	1822	241798
748	1824	241785
749	1826	241766
750	1829	241755
751	1831	241742
752	1834	241739
753	1836	241737
754	1839	241750
755	1841	241761
756	1844	241777
757	1846	241806
758	1849	241833
759	1852	241861
760	1854	241893
761	1857	241904
762	1860	241914
763	1862	241926
764	1864	241922
765	1867	241924
766	1869	241925
767	1872	241914
768	1874	241897
769	1876	241881
770	1879	241854
771	1881	241831
772	1883	241816
773	1886	241794
774	1888	241764
775	1890	241714
776	1892	241674
