iter	Logloss	Accuracy	Recall	Precision	F1
154	0.3115280508	0.9229166667	0.931147541	0.9183508488	0.9247049247
155	0.309402694	0.9245833333	0.9319672131	0.9206477733	0.9262729124
156	0.3075504667	0.92625	0.9336065574	0.9222672065	0.9279022403
157	0.3061367375	0.9270833333	0.9336065574	0.9237631792	0.9286587852
158	0.305103537	0.9266666667	0.9319672131	0.9243902439	0.9281632653
159	0.303741454	0.9295833333	0.9344262295	0.9275834011	0.9309922417
160	0.3022411925	0.93125	0.9360655738	0.9292107404	0.9326255615
161	0.3012247599	0.9295833333	0.9336065574	0.9282803586	0.9309358398
162	0.3001485147	0.9320833333	0.9393442623	0.9279352227	0.933604888
163	0.2993159567	0.9325	0.9385245902	0.9293831169	0.9339314845
164	0.2979413827	0.9333333333	0.9409836066	0.928802589	0.9348534202
165	0.2963624517	0.93375	0.9393442623	0.9309504468	0.935128519
166	0.2951375017	0.9341666667	0.9385245902	0.9324104235	0.9354575163
167	0.2937864134	0.9354166667	0.9393442623	0.9339853301	0.9366571312
168	0.2929764335	0.9345833333	0.9409836066	0.9310624493	0.9359967387
169	0.2923460548	0.9358333333	0.9409836066	0.9333333333	0.9371428571
170	0.2913803655	0.935	0.9385245902	0.9339314845	0.9362224039
171	0.2895794715	0.9366666667	0.9426229508	0.9334415584	0.9380097879
172	0.288669085	0.9366666667	0.9426229508	0.9334415584	0.9380097879
173	0.2871671989	0.9383333333	0.9442622951	0.9350649351	0.9396411093
174	0.2858263971	0.93625	0.9426229508	0.9326845093	0.937627395
175	0.2846173683	0.9379166667	0.9459016393	0.9329021827	0.9393569394
176	0.2829520498	0.9375	0.943442623	0.9342532468	0.9388254486
177	0.281760614	0.9379166667	0.943442623	0.9350121852	0.9392084863
178	0.2799522351	0.93875	0.9418032787	0.9379591837	0.9398773006
179	0.2791383986	0.93875	0.9426229508	0.9372453138	0.9399264405
180	0.2776721779	0.9391666667	0.9426229508	0.9380097879	0.9403107114
181	0.276695074	0.93875	0.943442623	0.9365337673	0.9399755002
182	0.2758502858	0.9395833333	0.943442623	0.9380603097	0.9407437679
183	0.2750888449	0.94	0.943442623	0.9388254486	0.9411283729
184	0.2738303191	0.9433333333	0.9459016393	0.9428104575	0.9443535188
185	0.2726821411	0.94375	0.9467213115	0.9428571429	0.9447852761
186	0.2713438291	0.9416666667	0.9450819672	0.94045677	0.9427636958
187	0.2699710172	0.94375	0.9475409836	0.9421352893	0.9448304046
188	0.268719724	0.9445833333	0.9491803279	0.9422294548	0.9456921192
189	0.2671272988	0.95	0.95	0.9515599343	0.9507793273
190	0.2664914154	0.94875	0.9491803279	0.9499589828	0.9495694957
191	0.2656277067	0.9495833333	0.95	0.9507793273	0.9503895039
192	0.2648858562	0.95	0.9483606557	0.9530477759	0.9506984388
193	0.2641161542	0.9504166667	0.9491803279	0.9530864198	0.9511293634
194	0.2624860155	0.9475	0.9491803279	0.9476268412	0.9484029484
195	0.2618289556	0.9475	0.9475409836	0.9490968801	0.9483182937
196	0.2607355589	0.9525	0.9516393443	0.9547697368	0.9532019704
197	0.2593429187	0.9508333333	0.9508196721	0.9523809524	0.9515996719
198	0.2587410288	0.9533333333	0.9508196721	0.9570957096	0.9539473684
199	0.2578353537	0.9541666667	0.9508196721	0.958677686	0.9547325103
200	0.2569648018	0.955	0.9524590164	0.9587458746	0.9555921053
201	0.2560644612	0.95625	0.9549180328	0.9588477366	0.9568788501
202	0.254665352	0.9554166667	0.9540983607	0.9580246914	0.9560574949
203	0.253130515	0.9583333333	0.9590163934	0.9590163934	0.9590163934
204	0.2524546531	0.95875	0.9590163934	0.9598031173	0.9594095941
